,,,,,,,Daily Price Arrival Report-07-11-2025 to 25-04-2026 for Haryana,,,,,,
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,005.70",Metric Tonnes,06-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,525.90,Metric Tonnes,04-04-2026
Haryana,Ambala,Barara APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,41.20,Metric Tonnes,03-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,189.20,Metric Tonnes,25-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,546.80,Metric Tonnes,23-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,037.90",Metric Tonnes,22-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,804.00,Metric Tonnes,21-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,014.60",Metric Tonnes,20-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,257.00,Metric Tonnes,18-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,569.40",Metric Tonnes,17-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,541.80",Metric Tonnes,16-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,348.60",Metric Tonnes,15-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,027.40",Metric Tonnes,14-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,500.00",Metric Tonnes,13-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,371.00",Metric Tonnes,11-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,389.80",Metric Tonnes,10-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,176.90",Metric Tonnes,09-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,727.00",Metric Tonnes,07-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,506.30",Metric Tonnes,06-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,445.40,Metric Tonnes,04-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,470.00,Metric Tonnes,03-04-2026
Haryana,Ambala,Mullana APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,220.30,Metric Tonnes,02-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,282.90,Metric Tonnes,24-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,76.60,Metric Tonnes,23-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,878.50,Metric Tonnes,22-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,97.30,Metric Tonnes,21-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,984.80",Metric Tonnes,20-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,837.40",Metric Tonnes,18-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,103.70",Metric Tonnes,17-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,435.50",Metric Tonnes,16-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,710.80",Metric Tonnes,15-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,200.40",Metric Tonnes,14-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"4,200.00",Metric Tonnes,13-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,907.60",Metric Tonnes,11-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,263.80",Metric Tonnes,10-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,343.40,Metric Tonnes,09-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,420.50,Metric Tonnes,07-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,981.10",Metric Tonnes,06-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,262.50,Metric Tonnes,04-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,50.00,Metric Tonnes,03-04-2026
Haryana,Ambala,Mullana(saha) APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,25.40,Metric Tonnes,02-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,18.20,Metric Tonnes,25-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,187.90,Metric Tonnes,24-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,206.00,Metric Tonnes,22-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Local,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,170.70,Metric Tonnes,22-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,387.30,Metric Tonnes,21-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,829.20,Metric Tonnes,20-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Deshi,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,266.40,Metric Tonnes,19-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Deshi,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,962.20,Metric Tonnes,16-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Deshi,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,982.20,Metric Tonnes,15-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Deshi,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,50.00,Metric Tonnes,09-04-2026
Haryana,Ambala,Naneola APMC,Cereals,Wheat,Other,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,0.10,Metric Tonnes,06-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,586.00","2,586.00",Rs./Quintal,"1,930.80",Metric Tonnes,24-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,198.40,Metric Tonnes,23-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,343.90",Metric Tonnes,22-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,570.00,Metric Tonnes,21-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"5,143.80",Metric Tonnes,20-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,407.70",Metric Tonnes,19-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"5,355.70",Metric Tonnes,17-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,091.60",Metric Tonnes,16-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"5,457.00",Metric Tonnes,15-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,451.00",Metric Tonnes,14-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"7,272.40",Metric Tonnes,13-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,406.60",Metric Tonnes,12-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,649.80",Metric Tonnes,10-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,194.20",Metric Tonnes,09-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,366.20,Metric Tonnes,07-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,177.00",Metric Tonnes,06-04-2026
Haryana,Ambala,Naraingarh APMC,Cereals,Wheat,Wheat,Local,"2,585.00","2,585.00","2,585.00",Rs./Quintal,171.10,Metric Tonnes,05-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,349.40,Metric Tonnes,24-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,363.00,Metric Tonnes,23-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,654.30,Metric Tonnes,22-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,638.60,Metric Tonnes,21-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,451.00",Metric Tonnes,20-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,770.70",Metric Tonnes,18-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,234.20",Metric Tonnes,17-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,561.40",Metric Tonnes,16-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,133.80",Metric Tonnes,15-04-2026
Haryana,Ambala,Shahzadpur APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"3,612.30",Metric Tonnes,14-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,409.70,Metric Tonnes,24-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,541.90,Metric Tonnes,23-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,883.70,Metric Tonnes,22-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,911.90,Metric Tonnes,21-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,991.60,Metric Tonnes,19-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,388.70",Metric Tonnes,18-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,716.50",Metric Tonnes,17-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,451.40",Metric Tonnes,16-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,683.60",Metric Tonnes,15-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,272.80",Metric Tonnes,14-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,569.20",Metric Tonnes,13-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"2,169.70",Metric Tonnes,12-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,980.10",Metric Tonnes,11-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,928.00,Metric Tonnes,09-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,601.60,Metric Tonnes,08-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,120.00,Metric Tonnes,07-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,865.60,Metric Tonnes,06-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,182.60,Metric Tonnes,04-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,49.60,Metric Tonnes,03-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,7.25,Metric Tonnes,02-04-2026
Haryana,Bhiwani,Loharu APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,136.50,Metric Tonnes,01-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,247.90,Metric Tonnes,25-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,295.40,Metric Tonnes,24-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,288.90,Metric Tonnes,23-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,422.40,Metric Tonnes,22-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,585.30,Metric Tonnes,21-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,851.20,Metric Tonnes,20-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,624.70,Metric Tonnes,19-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,590.40,Metric Tonnes,18-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,790.60,Metric Tonnes,17-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,491.50",Metric Tonnes,16-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,354.20",Metric Tonnes,15-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,452.30",Metric Tonnes,14-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,925.80,Metric Tonnes,13-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,024.70",Metric Tonnes,12-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,669.60",Metric Tonnes,11-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,173.60",Metric Tonnes,10-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,120.30",Metric Tonnes,09-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,656.10,Metric Tonnes,08-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,379.80,Metric Tonnes,07-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,631.70,Metric Tonnes,06-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,636.80,Metric Tonnes,05-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,335.70,Metric Tonnes,04-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,239.90,Metric Tonnes,03-04-2026
Haryana,Bhiwani,Tosham APMC,Cereals,Wheat,Local,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,139.40,Metric Tonnes,02-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,65.00,Metric Tonnes,25-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,216.10,Metric Tonnes,23-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,250.10,Metric Tonnes,21-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,791.30,Metric Tonnes,20-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,515.20,Metric Tonnes,18-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,590.90,Metric Tonnes,17-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,990.60,Metric Tonnes,16-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,733.60,Metric Tonnes,15-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,256.70",Metric Tonnes,14-04-2026
Haryana,Faridabad,Ballabhgarh APMC,Cereals,Wheat,Other,FAQ,"2,585.00","2,585.00","2,585.00",Rs./Quintal,"1,314.80",Metric Tonnes,13-04-2026
